Index,menu_item,meal_type,times_served,days_served,notes,price
46,Ham & Brie Wafflewich    ,Waffles,8AM to 3PM,Tuesday - Sunday,"Maple ham & creamy Brie sandwiched between 2 waffle halves, topped with sunny eggs. Sweet beer mustard included for dipping. Served with potatoes.",12.95
47,Chicken & waffles           ,Waffles,8AM to 3PM,Tuesday - Sunday,House-made beer battered boneless chicken tenders paired with a sweet crisp waffle. Topped with whipped butter and served with pure maple syrup.,13.95
48,Sticky Chicken               ,Waffles,8AM to 3PM,Tuesday - Sunday,House-made beer battered boneless chicken tenders tossed in a sticky maple mustard glaze set atop a jalapeno cheddar corn bread waffle. Topped with whipped butter and served with pure maple syrup.,14.95
49,Breakfast scramble       ,Kits‰Ûª menu,8AM to 3PM,Tuesday - Sunday,"  Scrambled eggs, served with a side of potatoes, toast and choice of bacon, sausage or veggie patty. ",4.95
50,Grilled Cheese                ,Kits‰Ûª menu,8AM to 3PM,Tuesday - Sunday,  Cheddar cheese on toasted sesame bread.  Add meat for $2.50. Includes fries,3.95
51,Bunny Pancake               ,Kits‰Ûª menu,8AM to 3PM,Tuesday - Sunday,"  A buttermilk pancake served with maple syrup, apple slices, and meat of choice.  ",4.95
52,Waffle Platter              ,Kits‰Ûª menu,8AM to 3PM,Tuesday - Sunday,"  2 waffle bites, 1 egg scrambled and a choice of meat. ",4.95
53,chicken Tenders             ,Kits‰Ûª menu,8AM to 3PM,Tuesday - Sunday,   4 breaded bonless chicken nuggets served with ketchup for dipping. Includes fries,5.95
54,"Bacon, sausage, ham or chorizo ",Add-ons ,8AM to 3PM,Tuesday - Sunday,,2.5
55,Vegan chorizo or vegan patty  ,Add-ons ,8AM to 3PM,Tuesday - Sunday,,2.5
56,"Guacamole, cheese, pico de gallo, additional egg ",Add-ons ,8AM to 3PM,Tuesday - Sunday,,1
57,Sour cream  ,Add-ons ,8AM to 3PM,Tuesday - Sunday,,0.5
58,Egg whites available at no additional charge,Add-ons ,8AM to 3PM,Tuesday - Sunday,,#VALUE!
59,4 strips of Bacon ,Sides,8AM to 3PM,Tuesday - Sunday,,4.95
60,2 Sausage patties ,Sides,8AM to 3PM,Tuesday - Sunday,,3.95
61,Ham ,Sides,8AM to 3PM,Tuesday - Sunday,,3.95
62,2 vegan patties ,Sides,8AM to 3PM,Tuesday - Sunday,,3.95
63,Potatoes (v) (WF) ,Sides,8AM to 3PM,Tuesday - Sunday,,3.95
64,2 eggs ala carte ,Sides,8AM to 3PM,Tuesday - Sunday,,2.95
65,disclaimer_one,disclaimer_one,8AM to 3PM,Tuesday - Sunday,(v) Vegan      (WF) Wheat-Free      Please ask if you need us to accommodate a dish and make it wheat-free and/or vegan.,#VALUE!
66,Bakery: Kelly Beaudoin,Staff,8AM to 3PM,Tuesday - Sunday,,#VALUE!
67,coffee: Jordan Reinhardt,Staff,8AM to 3PM,Tuesday - Sunday,,#VALUE!
68,Kitchen: Jen Swanteck,Staff,8AM to 3PM,Tuesday - Sunday,,#VALUE!
69,Owner: Laura Soncrant,Staff,8AM to 3PM,Tuesday - Sunday,,#VALUE!
70,disclaimer_two,disclaimer_two,8AM to 3PM,Tuesday - Sunday,"We make the majority of our sauces, dressings, chutneys, marinades, jams & sausages in house. Please be aware ingredients may vary. Please tell your server if you have any allergies.",#VALUE!
71,disclaimer_three,disclaimer_three,8AM to 3PM,Tuesday - Sunday,"Notice: The consumption of raw Or under cooked eggs, meat, poultry, seafood or shellfish may increase your risk of food-borne illness. Egg whites available at no additional charge",#VALUE!
